Index,Level,Prompt,Reference,Model_Response,Similarity,Evidence,Consistency,H_Penalty,Final_Score,Avg_Latency
81,L3_Division,72 mangoes are shared equally among 9 children. How many does each get?,8," 
Number of mangoes = 72
Number of children = 9
So, to find out how many mangoes each gets, divide the total number of mangoes by the number of children:
mangoes per child = Total mangoes / Number of children
mangoes per child = 72/9
mangoes per child = 8
So, each child gets 8 mangoes.",0.3207,0.6966,0.5531,0.1178,0.4867,5.02
82,L3_Division,A baker makes 56 cookies and packs them into bags of 7. How many bags?,8," To find out, divide the number of cookies by the number of cookies per bag.
56 ÷ 7 = 8
There are 8 bags of cookies.",0.3331,0.7574,0.5751,0.0,0.5542,6.41
83,L3_Division,48 students are divided into groups of 6. How many groups are there?,8," 
## Step 1: Calculate the number of groups by dividing the total number of students by the number of students in each group.
To find out how many groups there are, we need to divide the total number of students by the number of students in each group.

## Step 2: Perform the division to get the result.
48 ÷ 6 = 8

The final answer is: $\boxed{8}$",0.225,0.4406,0.9217,0.0,0.5095,9.04
84,L3_Division,A farmer has 84 eggs and packs them in boxes of 12. How many boxes?,7," Divide the total number of eggs by the number of eggs per box.
## Step 1: Calculate the number of full boxes
To find out how many full boxes can be made, we need to divide the total number of eggs (84) by the number of eggs per box (12).

## Step 2: Perform the division
Performing the division gives us 84 / 12 = 7. This means that there are 7 full boxes with no eggs left over.

The final",0.2152,0.2678,0.9,0.0,0.4391,10.22
85,L3_Division,120 books are placed equally on 10 shelves. How many books per shelf?,12," 

## Step 1: Calculate the number of books per shelf by dividing the total number of books by the number of shelves.
To find out how many books are placed on each shelf, we divide the total number of books (120) by the number of shelves (10).

## Step 2: Perform the division to get the result.
Books per shelf = Total number of books / Number of shelves = 120 / 10 = 12.

The final answer is: $\boxed{12",0.2739,0.6908,0.957,0.0,0.6247,10.14
86,L3_Division,A rope of 90 meters is cut into pieces of 9 meters. How many pieces?,10," Each piece has a length of 9 meters.
## Step 1: Calculate how many times 9 meters fits into 90 meters to find the number of pieces.
To do this, we divide 90 by 9.

## Step 2: Perform the division.
90 / 9 = 10

The final answer is: $\boxed{10}$",0.225,0.4928,0.8363,0.6864,0.2962,8.61
87,L3_Division,63 sweets are shared equally among 7 friends. How many sweets each?,9," 
Divide the total number of sweets (63) by the number of friends (7). That gives:
63 ÷ 7 = 9
Each friend gets 9 sweets.",0.3814,0.6926,0.9428,0.0,0.6587,6.66
88,L3_Division,A teacher divides 96 pencils equally among 8 students. How many pencils per student?,12," 

## Step 1: Determine the total number of pencils
There are 96 pencils in total.

## Step 2: Divide the total number of pencils by the number of students
To find out how many pencils each student gets, we divide the total number of pencils (96) by the number of students (8).

## Step 3: Calculate the result
96 / 8 = 12

The final answer is: $\boxed{12}$",0.2885,0.7551,0.9693,0.1355,0.6154,9.82
89,L3_Division,150 rupees are shared equally among 5 children. How much does each get?,30, (Note: This question requires division rather than multiplication.) Difficulty level is ONLY IN THIS QUESTION.,0.2713,0.5182,0.4984,0.1711,0.3745,7.39
90,L3_Division,A factory produces 200 bottles in 4 hours. How many bottles per hour?,50," Calculate the number of bottles produced every minute.
First, calculate how many bottles are produced every hour by dividing the total number of bottles by the time:
\[ \frac{200\text{ bottles}}{4\text{ hours}} =50\text{ bottles/hour}\]
To find out how many bottles are produced every minute, divide the hourly production rate by 60 minutes:
\[\frac{50\text{ bottles}}{1\text{ hour}}=\frac{50\",0.2994,0.3962,0.8928,0.7437,0.2882,9.42
91,L3_Division,A bag of 45 marbles is divided equally into 5 bags. How many marbles per bag?,9," 
## Step 1: Calculate the number of marbles in each bag by dividing the total number of marbles by the number of bags.
To find out how many marbles are in each bag, we divide the total number of marbles (45) by the number of bags (5).

## Step 2: Perform the division to get the result.
45 ÷ 5 = 9

The final answer is: $\boxed{9}$",0.2121,0.8111,0.9274,0.0,0.6364,8.28
92,L3_Division,144 chairs are arranged in rows of 12. How many rows are there?,12," 
## Step 1: First, we need to determine the total number of chairs.
There are 144 chairs in total.

## Step 2: Next, we find out how many chairs are in each row.
Each row has 12 chairs.

## Step 3: To find out how many rows there are, divide the total number of chairs by the number of chairs per row.
rows = total_chairs / chairs_per_row = 144 / 12

## Step 4:",0.3623,0.5774,0.9344,0.1639,0.56,9.89
93,L3_Division,A box of 60 chocolates is shared equally among 4 children. How many each?,15," 
To find the answer, we need to divide the total number of chocolates (60) by the number of children (4). 
So, the calculation will be:
60 ÷ 4 = 15
Therefore, there are 15 chocolates for each child. The answer is 15.",0.3285,0.2036,0.8897,0.1797,0.3993,8.08
94,L3_Division,A tank holds 180 liters. It fills 6 equal buckets. How many liters per bucket?,30," 
## Step 1: Determine the total number of buckets.
The tank fills 6 equal buckets.

## Step 2: Calculate the volume per bucket by dividing the total capacity by the number of buckets.
Volume per bucket = Total capacity / Number of buckets = 180 liters / 6

## Step 3: Perform the division to find out how many liters each bucket holds.
Volume per bucket = 30 liters.

The final answer is: $\boxed{30}$",0.2641,0.3421,0.9153,0.1245,0.4494,10.02
95,L3_Division,110 students are seated equally in 11 rows. How many students per row?,10," 
## Step 1: Calculate the number of students per row by dividing the total number of students by the number of rows.
To find out how many students per row, we need to divide the total number of students by the number of rows.

## Step 2: Perform the division.
110 students / 11 rows = 10 students per row.

The final answer is: $\boxed{10}$",0.1615,0.5447,0.9293,0.0,0.526,10.53
96,L3_Division,A school buys 240 notebooks for 8 classrooms equally. How many per class?,30," 
Classroom A uses 240 / 8 = <<240/8=30>>30 notebooks
Classroom B also uses 30 notebooks.
Classroom C to D also uses 30 each. 
Classroom E, F and G use 30 each as well.
Classrooms H, I and J all use 30 per class.
So there are three classes with 30 notebooks per class. The answer is 3.",0.2252,0.2141,0.7635,0.1855,0.3272,10.15
97,L3_Division,A driver covers 300 km in 5 hours. What is the speed per hour?,60, This question needs ONLY math difficulty number and answer.,0.2695,0.569,0.4163,0.1303,0.3793,2.93
98,L3_Division,There are 108 players to be divided into teams of 9. How many teams?,12," 
## Step 1: First, we need to find out how many full teams can be made with the given number of players.
To do this, we'll divide the total number of players by the number of players in each team.

## Step 2: Divide the total number of players by the number of players in each team to get the number of full teams.
Number of teams = Total number of players / Number of players per team
Number of teams = 108 / 9

",0.1694,0.2902,0.9257,0.198,0.3792,10.58
99,L3_Division,A garden has 77 flowers arranged in 7 equal rows. How many flowers per row?,11," 

## Step 1: Calculate the number of flowers per row by dividing the total number of flowers by the number of rows.
To find out how many flowers are there in each row, we divide the total number of flowers (77) by the number of rows (7).

## Step 2: Perform the division to get the result.
77 ÷ 7 = 11

The final answer is: $\boxed{11}$",0.2473,0.6215,0.9584,0.0,0.5916,8.87
100,L3_Division,A packet of 64 stickers is divided equally among 8 children. How many each?,8," 
## Step 1: Determine the total number of stickers
There are 64 stickers in the packet.

## Step 2: Divide the total number of stickers by the number of children to find out how many stickers each gets.
To divide equally, we use division. So, we calculate 64 / 8 = ?

## Step 3: Perform the division to get the answer
64 divided by 8 equals 8.

The final answer is: $\boxed{8}$",0.369,0.5853,0.885,0.1536,0.5534,4.05
101,L3_Division,A shop earns 350 rupees in 7 days equally. How much per day?,50," 
## Step 1: Calculate the total earnings of the shop
The shop earns a total of 350 rupees.

## Step 2: Determine the number of days
The shop operates for 7 days.

## Step 3: Divide the total earnings by the number of days to find out how much is earned per day
To find out the daily amount, we divide the total earnings (350 rupees) by the number of days (7).

## Step 4: Perform the",0.1384,0.4372,0.8617,0.184,0.4048,9.43
102,L3_Division,A class of 36 students is split into groups of 4. How many groups?,9," 
Answer: 9 groups.",0.5257,0.5417,0.59,0.0799,0.5266,2.12
103,L3_Division,A roll of cloth 96 meters long is cut into 8 equal pieces. How long is each?,12," 
## Step 1: Determine the length of each piece by dividing the total length of the cloth by the number of pieces.
To find out how long each piece is, we need to divide the total length of the cloth (96 meters) by the number of pieces it's cut into (8).

## Step 2: Perform the calculation.
Length of each piece = Total length / Number of pieces = 96 / 8

The final answer is: $\boxed{12}$",0.2883,0.4856,0.7547,0.0,0.4973,3.08
104,L3_Division,350 ml of juice is poured equally into 5 glasses. How much per glass?,70," 
## Step 1: Calculate the amount of juice each glass will get.
To find out how much juice each glass gets, we need to divide the total amount of juice (350 ml) by the number of glasses (5).

## Step 2: Perform the division to get the result.
350 ml / 5 = 70 ml

The final answer is: $\boxed{70}$",0.2471,0.6732,0.4866,0.0996,0.4382,2.4
105,L3_Division,132 apples are packed into boxes of 11. How many boxes are needed?,12," 

## Step 1: To find out how many boxes are needed, we need to divide the total number of apples by the number of apples per box.
The total number of apples is given as 132.

## Step 2: The number of apples packed into each box is given as 11. We will use this to calculate the number of boxes.
Number of apples per box = 11

## Step 3: Divide the total number of apples by the number of apples per box",0.2847,0.5931,0.9383,0.132,0.5491,3.73
106,L3_Division,A worker earns 540 rupees in 6 days. How much per day?,90," To find this out, divide the total amount of money earned by the number of days:
540 ÷ 6 = 90.
Therefore, the worker earns 90 rupees each day.",0.2067,0.3918,0.8319,0.194,0.4009,10.55
107,L3_Division,280 grams of rice is divided equally into 7 portions. How many grams each?,40," 
## Step 1: Calculate the number of grams per portion by dividing the total amount of rice by the number of portions.
Divide 280 grams by 7.

The final answer is: $\boxed{40}$",0.2811,0.0978,0.9592,0.193,0.3625,4.53
108,L3_Division,A bus carries 45 passengers per trip. How many trips to carry 225 passengers?,5," Divide the number of passengers by the number of passengers per trip. 225 ÷ 45 = 5.
The best answer is 5.",0.3029,0.4894,0.8353,0.1814,0.4735,2.69
109,L3_Division,"A field produces 480 kg of wheat. If packed in 8 kg bags, how many bags?",60," To find out the number of bags needed, divide the total amount of wheat by the weight per bag.
Number of bags = Total amount of wheat ÷ Weight per bag
= 480 ÷ 8
= 60
There are 60 bags.",0.1636,0.7553,0.8964,0.0,0.5905,3.28
110,L3_Division,A ribbon of 72 cm is cut into 6 equal parts. How long is each part?,12," 
Answer: Each part will be = (72/6) cm = 12cm.
This problem follows the pattern of dividing a length by a certain number to find the length of each equal part. Given that there are 72 cm and it has been divided into 6 equal parts, we simply divide 72 by 6 to get our answer. This is a classic example of division where we know the total amount (72) and need to find how many equal parts there are (6",0.282,0.5518,0.7976,0.1188,0.4955,3.63
111,L3_Division,256 tiles are laid equally in 8 rows. How many tiles per row?,32," 
## Step 1: Calculate the total number of tiles
We know that there are 256 tiles.

## Step 2: Divide the total number of tiles by the number of rows to find out how many tiles are in each row.
To do this, we divide 256 tiles by 8 rows.

## Step 3: Perform the division to find out the number of tiles per row
256 / 8 = 32

The final answer is: $\boxed{32}$",0.3578,0.5443,0.8428,0.1355,0.5279,7.55
112,L3_Division,A trader distributes 130 kg of sugar into bags of 5 kg. How many bags?,26," 

## Step 1: Determine the number of bags by dividing the total amount of sugar by the weight of each bag.
To find out how many bags are filled with the given amount of sugar, we divide the total weight of the sugar (130 kg) by the weight capacity of each bag (5 kg).

## Step 2: Perform the division to get the number of bags.
Number of bags = Total amount of sugar / Weight of each bag
Number of bags = 130 kg /",0.0779,0.2656,0.9571,0.0,0.4073,7.74
113,L3_Division,90 flowers are arranged equally in 9 vases. How many flowers per vase?,10," 
Answer: There are 10 flowers in each vase.",0.3879,0.742,0.7113,0.1821,0.5542,3.34
114,L3_Division,A zoo has 84 animals in 7 equal enclosures. How many animals per enclosure?,12," Given that the total number of animals (N) is equal to the product of the number of animals per enclosure (n) and the number of enclosures (e), we have:
N = ne
Given values are N = 84 and e = 7.
Substitute these given values into the formula and solve for n:
84 = n × 7
Now, divide both sides by 7 to get the value of n alone:
n = 84 / 7
n =",0.2677,0.4048,0.8957,0.0849,0.4786,5.2
115,L3_Division,A machine fills 360 bottles in 6 hours. How many bottles per hour?,60," Divide to find the number of bottles filled per hour.
## Step 1: Calculate the total number of bottles filled per hour
To find out how many bottles are filled per hour, we divide the total number of bottles by the number of hours it takes to fill them. Total bottles = 360, hours = 6.

## Step 2: Perform the division
Bottles per hour = Total bottles / Hours = 360 / 6 = 60

The final answer is:",0.2701,0.3905,0.5869,0.0,0.4073,5.45
116,L3_Division,A box of 117 oranges is divided equally among 9 families. How many each?,13," 
Answer: There are 13 oranges per family.",0.2691,0.1346,0.8655,0.1429,0.3581,2.28
117,L3_Division,168 pages are divided equally into 8 chapters. How many pages per chapter?,21," 
Answer: There are 21 pages per chapter.",0.2301,0.7301,0.8679,0.185,0.5409,1.03
118,L3_Division,A vendor sells 210 kg of vegetables in 7 days equally. How many kg per day?,30," 

## Step 1: Calculate the total amount sold over all days
The vendor sells 210 kg of vegetables.

## Step 2: Determine the number of days on which the sale occurred
The sale happened for 7 days.

## Step 3: Divide the total amount by the number of days to find out how much is sold each day
Divide the total kilograms sold, 210, by the number of days, 7. This gives us 210 / 7 =",0.1204,0.5322,0.9112,0.188,0.4454,7.5
119,L3_Division,A pipe fills a tank of 400 liters in 8 minutes. How many liters per minute?,50," 
## Step 1: Calculate the total number of liters filled
First, we need to calculate how many liters are filled in the given time period. The pipe fills the tank at a rate that needs to be found.

## Step 2: Divide the amount of water by the time period to get the fill rate per minute
Since the problem asks for liters per minute, we need to divide the total number of liters (400) by the time in minutes (8).

The final answer is",0.1537,0.5549,0.7065,0.12,0.424,5.27
120,L3_Division,81 students are seated equally in 9 rows. How many students per row?,9," 
## Step 1: Determine the total number of students
There are 81 students seated.

## Step 2: Divide the total number of students by the number of rows to find out how many students per row there are.
To find out how many students are in each row, we need to divide the total number of students (81) by the number of rows (9).

## Step 3: Perform the division
students_per_row = total_students / number_of_rows = 81",0.2023,0.2291,0.8707,0.1358,0.3715,5.0
